id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
519317,"Stanton, Giancarlo",715,0.913154534,485,81.22457561,0.986013986,0.298969072,0.202797203,0.27628866,0.187412587,8.564391343,14,0.272393691,230,0.321678322,252,0.352447552
665833,"Cruz, Oneil",876,0.9125,590,78.5642216,0.755707763,0.340677966,0.229452055,0.245762712,0.165525114,7.664186142,9,-9.782320195,286,0.326484018,304,0.347031963
678877,"Noel, Jhonkensy",348,0.896907216,242,77.99089491,0.770114943,0.202479339,0.140804598,0.136363636,0.094827586,7.739996868,1,-1.089793776,106,0.304597701,107,0.307471264
656941,"Schwarber, Kyle",959,0.904716981,687,77.51612434,0.779979145,0.324599709,0.232533889,0.229985444,0.164754953,7.710202054,35,-6.889154706,272,0.28362878,344,0.358706986
691023,"Walker, Jordan",264,0.901023891,188,77.30600845,0.71969697,0.287234043,0.204545455,0.191489362,0.136363636,8.152453447,9,-4.854962002,76,0.287878788,101,0.382575758
670242,"Wallner, Matt",415,0.904139434,266,77.2917794,0.734939759,0.240601504,0.154216867,0.184210526,0.118072289,7.325760193,15,1.344474397,149,0.359036145,114,0.274698795
691406,"Caminero, Junior",264,0.904109589,191,77.23612011,0.700757576,0.335078534,0.242424242,0.230366492,0.166666667,8.335880303,14,-3.695855575,73,0.276515152,120,0.454545455
592450,"Judge, Aaron",1010,0.91237579,721,77.14684954,0.747524752,0.338418863,0.241584158,0.257975035,0.184158416,8.178267574,14,52.21014842,289,0.286138614,343,0.33960396
666464,"Encarnacion, Jerar",213,0.898734177,161,76.97863502,0.685446009,0.304347826,0.230046948,0.248447205,0.187793427,7.811234695,6,0.535503638,52,0.244131455,77,0.361502347
660670,"Acuña Jr., Ronald",323,0.902234637,243,76.82582554,0.730650155,0.296296296,0.222910217,0.16872428,0.126934985,7.611816409,10,-7.601065539,80,0.247678019,108,0.334365325
666176,"Adell, Jo",797,0.904653802,578,76.67403305,0.658720201,0.250865052,0.181932246,0.152249135,0.110414053,7.555006148,20,-18.52181296,219,0.274780427,262,0.328732748
656305,"Chapman, Matt",990,0.904936015,757,76.5996406,0.641414141,0.281373844,0.215151515,0.184940555,0.141414141,7.451106121,21,-4.11011888,233,0.235353535,348,0.351515152
