id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,converted_speed,bat_accel,max_speed,fifth,tenth,fifteenth,twentieth,twofive,sevenfive,eightieth,eightfive,ninetieth,ninefive
656180,Riley Adams,132,0.9041095890410958,82,79.031571439,0.8484848484848485,0.2195121951219512,0.1363636363636363,0.1463414634146341,0.0909090909090909,7.960779394,6,-8.396798091423651,50,0.3787878787878788,40,0.303030303030303,115.91323488243813,1687.7591195452328,86.9,72.88,73.5,74.27000000000001,74.66,75.3,79.9,80.66,81.565,82.2,83.71
665833,Oneil Cruz,476,0.9049429657794676,309,78.548986576,0.754201680672269,0.3236245954692556,0.2100840336134453,0.2524271844660194,0.1638655462184874,7.778542815,9,-9.002341203698931,167,0.3508403361344537,151,0.3172268907563025,115.20544214142193,1706.2699550109137,88.0,73.0,73.46,75.03999999999999,76.24,76.6,82.4,82.9,83.2,84.48,85.53999999999999
691406,Junior Caminero,525,0.9051724137931034,430,78.022271086,0.7695238095238097,0.2837209302325581,0.2323809523809523,0.2023255813953488,0.1657142857142857,8.280132895,11,2.364951143758505,95,0.1809523809523809,219,0.4171428571428571,114.43292433370362,1581.4835749158758,87.8,73.14,73.78,74.4,75.22,75.8,80.9,81.3,81.74,82.24000000000001,83.8
701762,Nick Kurtz,287,0.9053627760252366,200,77.699728885,0.7979094076655051,0.28,0.1951219512195122,0.23,0.1602787456445993,7.683814251,11,1.1798392546433658,87,0.3031358885017421,100,0.3484320557491289,113.95986136376294,1690.1566823219227,88.0,73.1,73.72,74.53,75.53999999999999,75.9,80.30000000000001,81.36,82.0,83.08,84.3
691023,Jordan Walker,322,0.904494382022472,211,77.56297587,0.7453416149068324,0.2606635071090047,0.170807453416149,0.1706161137440758,0.1118012422360248,8.164976708,9,-9.440483208167306,111,0.3447204968944099,103,0.3198757763975155,113.7592898192529,1584.9617804177055,83.7,73.5,73.78,74.125,74.75999999999999,75.225,79.625,80.36,80.99,81.24,82.32
678877,Jhonkensy Noel,206,0.911504424778761,144,77.548207621,0.6990291262135921,0.1944444444444444,0.1359223300970873,0.125,0.087378640776699,7.576278398,5,-13.910034958668382,62,0.3009708737864077,61,0.2961165048543689,113.73762967149207,1707.4674033499623,84.7,74.85,75.89999999999999,76.95,77.52,77.85,82.45,82.72,83.08,83.62,84.16
666176,Jo Adell,459,0.9,346,77.491376514,0.7058823529411764,0.2601156069364161,0.196078431372549,0.1878612716763005,0.1416122004357298,7.714082048,13,5.375107649253501,113,0.2461873638344226,165,0.3594771241830065,113.65427719178837,1674.5083398920915,87.5,72.85,73.9,74.5,75.1,75.5,80.7,81.1,82.2,83.3,84.75
695506,Jac Caglianone,159,0.913793103448276,117,77.254422453,0.7295597484276729,0.282051282051282,0.2075471698113207,0.2222222222222222,0.1635220125786163,7.496819057,2,-10.414293232417382,42,0.2641509433962264,62,0.389937106918239,113.30674377914151,1712.5154132997804,87.0,72.745,73.7,74.2,74.68,75.5,80.4,81.3,81.8,82.21000000000001,82.855
592450,Aaron Judge,573,0.9009433962264152,379,76.889931169,0.7085514834205933,0.3350923482849604,0.2216404886561954,0.2453825857519788,0.1623036649214659,8.134218901,17,26.3843970639169,194,0.3385689354275741,192,0.3350785340314136,112.77215534763721,1563.4640739983226,86.9,73.2,73.94,74.60499999999999,75.6,76.25,80.125,80.76,81.19500000000001,82.0,82.63000000000001
656941,Kyle Schwarber,535,0.8991596638655462,391,76.787377103,0.7420560747663552,0.3427109974424552,0.2504672897196262,0.2531969309462916,0.1850467289719626,7.539179234,22,2.9353923871798457,144,0.2691588785046729,198,0.3700934579439252,112.62174237565699,1682.3657406270988,87.6,73.26,74.7,75.6,76.14,76.4,80.0,80.5,81.0,81.7,82.42
670541,Yordan Alvarez,192,0.9142857142857144,150,76.62575276,0.6822916666666666,0.32,0.25,0.1933333333333333,0.1510416666666666,7.770179219,0,-9.839180065604102,42,0.21875,73,0.3802083333333333,112.38469280050919,1625.486210791713,,,,,,,,,,,
670242,Matt Wallner,278,0.8996763754045307,174,76.330085971,0.6438848920863306,0.2988505747126437,0.1870503597122302,0.1896551724137931,0.118705035971223,7.427176475,10,-7.903545389823413,104,0.3741007194244604,85,0.3057553956834532,111.95104719108657,1687.4564660429578,87.4,73.11999999999999,73.92,74.4,74.8,75.65,79.6,80.16,80.9,81.96,83.87
672744,Alexander Canario,290,0.90625,189,76.315117034,0.6379310344827587,0.2645502645502645,0.1724137931034483,0.164021164021164,0.1068965517241379,8.019792862,0,-10.390031950255851,101,0.3482758620689655,89,0.3068965517241379,111.92909270025677,1562.1502959339994,85.6,72.645,73.5,73.645,74.0,74.2,78.275,79.16,79.285,80.28,82.96499999999999
665489,Vladimir Guerrero Jr.,482,0.9077212806026366,374,76.306339108,0.6265560165975104,0.3983957219251337,0.3091286307053942,0.267379679144385,0.2074688796680498,7.59140834,2,-0.6063709872184306,108,0.2240663900414937,232,0.4813278008298755,111.91621837953036,1649.9230940295763,86.7,73.17,74.0,75.01,75.5,76.025,80.57499999999999,81.02,81.6,82.73,83.8
575929,Willson Contreras,540,0.9045226130653268,396,76.237886167,0.6333333333333335,0.2954545454545454,0.2166666666666666,0.1868686868686868,0.137037037037037,7.916320648,6,-10.635674336782602,144,0.2666666666666666,195,0.3611111111111111,111.81582050455388,1579.3672680837337,83.4,72.6,73.1,73.51,74.62,75.1,78.8,79.02,79.58999999999999,80.7,82.06
669003,Garrett Mitchell,111,0.902439024390244,80,76.172755676,0.7027027027027026,0.2375,0.1711711711711711,0.1625,0.1171171171171171,7.451298649,5,-4.578422966766155,31,0.2792792792792792,39,0.3513513513513513,111.7202955673189,1675.0669956470153,,,,,,,,,,,
624413,Pete Alonso,621,0.9092240117130308,469,76.156250209,0.6264090177133653,0.3134328358208955,0.2367149758454106,0.2132196162046908,0.1610305958132045,7.124781417,6,-1.6579769202674877,152,0.2447665056360708,216,0.3478260869565217,111.69608749403403,1751.0735040525813,87.7,72.705,73.5,73.815,74.34,75.0,78.775,79.28,80.1,80.58999999999999,82.0
660271,Shohei Ohtani,578,0.903125,397,76.079463235,0.6262975778546712,0.3929471032745592,0.2698961937716263,0.2997481108312342,0.2058823529411764,8.001834965,8,15.134826108683674,181,0.3131487889273356,205,0.3546712802768166,111.58346634287746,1556.001844021044,85.2,72.76,73.4,73.68,74.3,75.2,78.8,79.3,80.22,80.98,82.5
