name,unit,Date,Value,Pitcher
Bodyweight in Kilograms,Kilo,3/4/2025,103.22,PitcherA
Bodyweight in Kilograms,Kilo,3/5/2025,104.17,PitcherA
Bodyweight in Kilograms,Kilo,3/9/2025,101.97,PitcherA
Bodyweight in Kilograms,Kilo,3/15/2025,102.69,PitcherA
Bodyweight in Kilograms,Kilo,3/18/2025,104.14,PitcherA
Bodyweight in Kilograms,Kilo,3/24/2025,103.04,PitcherA
Bodyweight in Kilograms,Kilo,5/6/2025,102.9,PitcherA
Bodyweight in Kilograms,Kilo,5/13/2025,103.82,PitcherA
Bodyweight in Kilograms,Kilo,5/20/2025,103.07,PitcherA
Bodyweight in Kilograms,Kilo,5/27/2025,104.1233333,PitcherA
Bodyweight in Kilograms,Kilo,6/3/2025,103.71,PitcherA
Bodyweight in Kilograms,Kilo,6/18/2025,102.38,PitcherA
Bodyweight in Kilograms,Kilo,6/27/2025,104.14,PitcherA
Bodyweight in Kilograms,Kilo,7/1/2025,102.84,PitcherA
Bodyweight in Kilograms,Kilo,7/8/2025,102.02,PitcherA
Bodyweight in Kilograms,Kilo,7/22/2025,103.84,PitcherA
Bodyweight in Kilograms,Kilo,7/30/2025,103.91,PitcherA
Bodyweight in Kilograms,Kilo,8/9/2025,104.5,PitcherA
Bodyweight in Kilograms,Kilo,8/16/2025,104.73,PitcherA
Bodyweight in Kilograms,Kilo,8/19/2025,103.46,PitcherA
Bodyweight in Kilograms,Kilo,9/2/2025,105.27,PitcherA
Bodyweight in Kilograms,Kilo,9/10/2025,103.92,PitcherA
Bodyweight in Pounds,Pound,3/4/2025,103.22,PitcherA
Bodyweight in Pounds,Pound,3/5/2025,104.17,PitcherA
Bodyweight in Pounds,Pound,3/9/2025,101.97,PitcherA
Bodyweight in Pounds,Pound,3/15/2025,102.69,PitcherA
Bodyweight in Pounds,Pound,3/18/2025,104.14,PitcherA
Bodyweight in Pounds,Pound,3/24/2025,103.04,PitcherA
