PAPitchNumber,ReleaseSpeed,GamePASeq,GameDate,Inning,TotalOutingPitches,PitchType,Pitcher
4,97.92684937,44,4/4/2025,6,26,FB,PitcherB
1,94.37757111,44,4/4/2025,6,26,FB,PitcherB
3,97.7411499,45,4/4/2025,6,26,FB,PitcherB
1,95.36305237,46,4/4/2025,6,26,SI,PitcherB
1,95.34645081,53,4/4/2025,7,26,SI,PitcherB
3,94.72899628,53,4/4/2025,7,26,SI,PitcherB
2,96.32498932,54,4/4/2025,7,26,FB,PitcherB
2,96.00022888,55,4/4/2025,7,26,SI,PitcherB
1,95.88204956,55,4/4/2025,7,26,SI,PitcherB
5,97.64389038,56,4/4/2025,7,26,FB,PitcherB
3,96.74966431,56,4/4/2025,7,26,FB,PitcherB
1,91.64231873,1,4/5/2025,1,40,FB,PitcherA
2,93.10669708,2,4/5/2025,1,40,FB,PitcherA
1,92.21838379,2,4/5/2025,1,40,FB,PitcherA
5,94.12961578,3,4/5/2025,1,40,FB,PitcherA
2,92.63175201,3,4/5/2025,1,40,FB,PitcherA
1,93.79798889,3,4/5/2025,1,40,FB,PitcherA
3,92.29724121,3,4/5/2025,1,40,FB,PitcherA
4,94.19284821,3,4/5/2025,1,40,FB,PitcherA
3,92.32219696,8,4/5/2025,2,40,FB,PitcherA
1,91.21096039,8,4/5/2025,2,40,FB,PitcherA
5,92.25204468,8,4/5/2025,2,40,FB,PitcherA
6,93.31310272,9,4/5/2025,2,40,FB,PitcherA
2,91.87796021,9,4/5/2025,2,40,FB,PitcherA
3,92.71691895,9,4/5/2025,2,40,FB,PitcherA
4,93.49503326,9,4/5/2025,2,40,FB,PitcherA
1,91.43252563,9,4/5/2025,2,40,FB,PitcherA
1,92.47940063,10,4/5/2025,2,40,FB,PitcherA
4,92.0749588,10,4/5/2025,2,40,FB,PitcherA
6,92.56197357,10,4/5/2025,2,40,FB,PitcherA
3,92.3585434,10,4/5/2025,2,40,FB,PitcherA
1,91.58605194,14,4/5/2025,3,40,FB,PitcherA
3,92.1408844,14,4/5/2025,3,40,FB,PitcherA
2,90.78141022,14,4/5/2025,3,40,FB,PitcherA
2,92.20238495,16,4/5/2025,3,40,FB,PitcherA
1,91.94248199,16,4/5/2025,3,40,FB,PitcherA
